Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA20,MA252
2009-08-06 00:00:00-04:00,1.1598831330884243,1.188704477996992,1.0938049542588035,1.1373884677886963,241978000,0.0,0.0,,,
2009-08-07 00:00:00-04:00,1.135279557202936,1.178160077742182,1.1268440683196104,1.154962420463562,24543000,0.0,0.0,0.015451143714366067,,
2009-08-10 00:00:00-04:00,1.1690218683915143,1.1690218683915143,1.0973199867107295,1.122626543045044,24210000,0.0,0.0,-0.027997341597953973,,
2009-08-11 00:00:00-04:00,1.1233295861581307,1.124735487395772,1.0895874536588062,1.101537823677063,23054000,0.0,0.0,-0.018785160121708278,,
2009-08-12 00:00:00-04:00,1.1352792578133148,1.138794050904407,1.1008342352410472,1.124734878540039,14513000,0.0,0.0,0.02105879105044406,,
2009-08-13 00:00:00-04:00,1.1247354045458882,1.1753485157673063,1.1247354045458882,1.1633981466293335,11506000,0.0,0.0,0.03437545045236012,,
2009-08-14 00:00:00-04:00,1.1598834425128195,1.195031476406737,1.142309467465522,1.1669130325317383,6378000,0.0,0.0,0.0030212235704416557,,
2009-08-17 00:00:00-04:00,1.143715051335456,1.1507446394037069,1.1387943564475402,1.1402002573013306,2544000,0.0,0.0,-0.022891830398407365,,
2009-08-18 00:00:00-04:00,1.1584770354304548,1.2090901285063833,1.1493385556362297,1.1999516487121582,14467000,0.0,0.0,0.05240429567368232,,
2009-08-19 00:00:00-04:00,1.1837838235843885,1.2611093796108443,1.1809719379510917,1.2575945854187012,20708000,0.0,0.0,0.048037716159986976,,
2009-08-20 00:00:00-04:00,1.2618125460496694,1.2618125460496694,1.2154172197117206,1.248456358909607,18821000,0.0,0.0,-0.007266432771775744,,
2009-08-21 00:00:00-04:00,1.2505657688430287,1.2632190525038014,1.235803590605568,1.2526745796203613,8636000,0.0,0.0,0.0033787490292720435,,
2009-08-24 00:00:00-04:00,1.231584852918989,1.2547825077976427,1.2161197775996504,1.230178952217102,10216000,0.0,0.0,-0.01795807767574953,,
2009-08-25 00:00:00-04:00,1.2407235001869001,1.2582974708242467,1.2336939119319614,1.2547826766967773,5308000,0.0,0.0,0.020000118222908148,,
2009-08-26 00:00:00-04:00,1.2435353857684568,1.2547826766967773,1.2055755589122068,1.2547826766967773,7086000,0.0,0.0,0.0,,
2009-08-27 00:00:00-04:00,1.2547832030406645,1.2800897648935077,1.2336944294297412,1.276574969291687,11611000,0.0,0.0,0.01736738400969795,,
2009-08-28 00:00:00-04:00,1.2723567622798426,1.3356231460891277,1.2653271733898452,1.2983663082122803,12950000,0.0,0.0,0.017070159955184128,,
2009-08-31 00:00:00-04:00,1.2899309044247202,1.2934456991043797,1.25197107160481,1.2793865203857422,10048000,0.0,0.0,-0.014618207285947982,,
2009-09-01 00:00:00-04:00,1.2829011135158341,1.2962572976804967,1.190813390057115,1.2547826766967773,13835000,0.0,0.0,-0.01923096991951001,,
2009-09-02 00:00:00-04:00,1.2484564689968458,1.282901512436375,1.2287735990027333,1.2428327798843384,12934000,0.0,0.0,-0.00952347927204189,1.208106315135956,
2009-09-03 00:00:00-04:00,1.2632188439421916,1.2632188439421916,1.1950317387502098,1.2266649007797241,36577000,0.0,0.0,-0.013008893365460517,1.2125701367855073,
2009-09-04 00:00:00-04:00,1.2477533664077844,1.2653273409601407,1.2294763993536055,1.248456358909607,11586000,0.0,0.0,0.01776480122324453,1.2172448337078094,
2009-09-08 00:00:00-04:00,1.2484564025958944,1.2604066889497998,1.2266646398687018,1.2442386150360107,5749000,0.0,0.0,-0.0033783670878811956,1.2233254373073579,
2009-09-09 00:00:00-04:00,1.254782348437839,1.254782348437839,1.2104959372574684,1.2133077383041382,5512000,0.0,0.0,-0.024859280493378155,1.2289139330387115,
2009-09-10 00:00:00-04:00,1.1957346419251804,1.227367887603199,1.191516937287628,1.1985465288162231,4152000,0.0,0.0,-0.012166088636793027,1.2326045155525207,
